seller_id,seller_username,seller_feedback_score,seller_positive_feedback_percentage
814,thetechfacility,9543,93.3
815,jacot1043,6,100.0
816,ccmiller931,4765,97.8
817,world-sellers1,4816,99.3
818,elupd-93,428,100.0
819,573macr,4499,99.0
820,spirithealthcare,8112,99.5
821,longwireless72,989,99.1
822,hknorgren,923,99.6
823,also714453,1,0.0
824,jgr_sales,5114,97.0
825,kicks_4_you,2915,98.6
826,zhw0021,21467,97.1
827,coffeesauce,0,50.0
828,poptrucker,221,97.4
829,jepie_2693,0,0.0
830,gray_knight,918,98.4
831,the*surplus*store,15745,98.6
832,northraleighsales,778,100.0
833,gingerrugger,376,98.0
834,try2fly217,75,91.2
835,cavus-66,21,100.0
836,e_shopper_cartz,425,100.0
837,heiz86,0,0.0
838,henrsmithj-0,153,100.0
839,viper62309,3978,97.6
840,jonran_94,0,0.0
841,4surpluscity,134051,97.8
842,isarabakingco,23,100.0
843,ridmaco,5450,100.0
844,secondlife2020,940,98.8
845,eastvalley_vintage,3660,99.2
846,mopi_31,2812,99.5
847,treasure9,6666,99.8
848,avery324,309,100.0
849,littlejoesstate,8352,98.1
850,sjhgl3,202,100.0
851,afripp7,2227,100.0
852,eliguti6643,5,100.0
853,laptops4u-14,4902,97.1
854,sale_shop6,97,100.0
855,nimi4828,1,0.0
856,aneliz881,38,100.0
857,brocjame6,105,100.0
858,khan_jasm,4,0.0
859,cleliasgroi123,299,100.0
860,assim2002,56463,99.7
861,delightfulfind,131,90.2
862,blessuu2,1579,98.3
863,generalstuff11,388,100.0
864,rale_3651,807,99.2
865,bargaincentral15,1668,100.0
866,dad_planet,5956,99.5
867,connermacloed,72,100.0
868,mr.md178,425,98.9
869,aloha_amor,4,100.0
870,phonerepairz,2013,98.6
871,6ave,91273,99.8
872,slda777,801,97.9
873,mightygee,78,100.0
874,ayeidibaba,13,0.0
875,jesyanez0,85,98.9
876,tlaser99,3238,100.0
877,vac-stars,1323,97.8
878,kate2163,77,100.0
879,brazun-41,2,100.0
880,variedemporium1,0,0.0
881,drdealsaz,118153,99.1
882,transmetal2012,430,100.0
883,rictol-6774,2,0.0
884,designerbrandss,8652,99.7
885,karkar.rklgdr,32,100.0
886,nrh692,4,100.0
