item_id,price_usd,original_price_usd,discount_percentage,discount_amount_usd,shipping_cost_usd,date_time
126251250292,151.35,163.97,8.0,12.62,,2024-11-18 12:51:21.838501
126252325542,163.97,,,,56.02,2024-11-18 12:51:22.733700
126691890021,189.21,,,,,2024-11-18 12:51:23.956020
126635494663,126.12,,,,54.72,2024-11-18 12:51:24.821112
126252039175,176.59,,,,,2024-11-18 12:51:25.475022
126252327596,163.97,,,,56.02,2024-11-18 12:51:26.408272
126251842034,138.73,151.35,8.0,12.62,55.15,2024-11-18 12:51:27.157957
126413962827,126.12,,,,57.89,2024-11-18 12:51:29.155090
126675376305,176.59,,,,,2024-11-18 12:51:29.943225
126251884118,138.73,151.35,8.0,12.62,,2024-11-18 12:51:30.733994
126728457500,239.68,,,,69.32,2024-11-18 12:51:31.983718
126252041377,176.59,,,,,2024-11-18 12:51:33.624641
256694897916,201.88,,,,63.29,2024-11-18 12:51:34.980491
126251819170,138.73,151.35,8.0,12.62,,2024-11-18 12:51:36.315343
126633886663,239.68,,,,69.32,2024-11-18 12:51:37.144377
256697764752,126.17,,,,65.41,2024-11-18 12:51:37.916786
135191056416,685.1,,,,,2024-11-18 12:51:39.405911
226102086303,112.99,,,,56.86,2024-11-18 12:51:40.974978
126251828868,138.73,151.35,8.0,12.62,,2024-11-18 12:51:41.757469
256621990357,189.26,,,,54.28,2024-11-18 12:51:42.604352
126251966750,138.73,151.35,8.0,12.62,,2024-11-18 12:51:43.426305
235801840533,85.16,94.62,10.0,9.46,53.31,2024-11-18 12:51:44.958739
226237433046,94.62,,,,50.31,2024-11-18 12:51:45.954256
226358620129,112.99,,,,75.75,2024-11-18 12:51:47.406691
315693508915,110.41,,,,62.43,2024-11-18 12:51:49.147768
235628593928,88.33,,,,61.59,2024-11-18 12:51:50.990159
135334321229,135.71,,,,64.25,2024-11-18 12:51:51.664256
126252207833,163.97,176.59,7.0,12.62,,2024-11-18 12:51:52.790235
226120383130,157.71,,,,71.23,2024-11-18 12:51:53.896125
126635486043,126.12,,,,54.72,2024-11-18 12:51:55.219483
126251835155,138.73,151.35,8.0,12.62,,2024-11-18 12:51:56.463382
387576658287,126.17,,,,75.59,2024-11-18 12:51:57.203839
226426075382,125.61,,,,62.16,2024-11-18 12:51:58.243120
276619886261,107.24,,,,60.82,2024-11-18 12:51:59.202814
126505639220,126.12,,,,,2024-11-18 12:51:59.859905
126414090678,163.97,176.59,7.0,12.62,47.82,2024-11-18 12:52:01.058186
126253184358,189.21,,,,74.47,2024-11-18 12:52:02.752829
146172790934,375.08,,,,,2024-11-18 12:52:04.293691
235683742099,107.25,,,,63.94,2024-11-18 12:52:04.917471
126251846347,138.73,151.35,8.0,12.62,,2024-11-18 12:52:06.229025
126633873281,201.82,,,,63.29,2024-11-18 12:52:07.144606
126252439069,138.73,,,,51.82,2024-11-18 12:52:08.098155
126633821148,201.82,,,,63.29,2024-11-18 12:52:08.854178
226425067581,120.56,,,,61.99,2024-11-18 12:52:10.867146
387531515525,368.85,,,,,2024-11-18 12:52:11.685409
387576658262,138.79,,,,81.87,2024-11-18 12:52:12.520366
235665169451,107.25,,,,63.94,2024-11-18 12:52:13.394119
126271039760,214.44,,,,63.72,2024-11-18 12:52:14.808953
113718203103,100.88,,,,67.95,2024-11-18 12:52:16.022401
126252439632,126.12,,,,51.39,2024-11-18 12:52:16.892456
235823651877,113.55,,,,54.28,2024-11-18 12:52:17.740732
235640448640,107.25,,,,63.94,2024-11-18 12:52:19.606632
156244714580,1263.75,,,,,2024-11-18 12:52:20.375064
126660338341,189.21,,,,,2024-11-18 12:52:21.791007
126635443957,189.21,,,,48.69,2024-11-18 12:52:22.646554
126252188189,176.59,,,,,2024-11-18 12:52:23.422247
385439031041,638.67,,,,,2024-11-18 12:52:24.516704
126591253279,113.5,,,,68.38,2024-11-18 12:52:25.459007
226347537567,125.61,,,,68.65,2024-11-18 12:52:26.402155
126667813204,100.88,,,,,2024-11-18 12:52:27.573084
226158738217,112.99,,,,57.1,2024-11-18 12:52:28.408040
395327559069,674.99,,,,,2024-11-18 12:52:29.271856
226358620124,112.99,,,,60.02,2024-11-18 12:52:30.089214
226319329850,112.99,,,,58.8,2024-11-18 12:52:31.000029
126251935605,151.35,163.97,8.0,12.62,,2024-11-18 12:52:31.732854
126252199897,176.59,,,,,2024-11-18 12:52:32.514507
326192348345,308.61,,,,15.81,2024-11-18 12:52:34.260570
116279655492,88.26,,,,67.51,2024-11-18 12:52:35.108268
126361622252,189.21,,,,74.47,2024-11-18 12:52:36.988226
126251788363,126.12,138.73,9.0,12.62,,2024-11-18 12:52:37.805905
126256380242,100.88,,,,71.43,2024-11-18 12:52:38.755493
204621857583,632.29,,,,,2024-11-18 12:52:39.617937
126637100595,176.59,,,,48.26,2024-11-18 12:52:40.756335
256623556059,176.64,,,,56.47,2024-11-18 12:52:41.645850
126252435893,126.12,,,,51.39,2024-11-18 12:52:43.213363
126252209674,176.59,,,,,2024-11-18 12:52:43.930839
125324651841,214.44,,,,71.86,2024-11-18 12:52:44.708942
226114444948,125.61,,,,57.29,2024-11-18 12:52:45.557767
315918933862,113.55,,,,64.97,2024-11-18 12:52:46.898445
126252436840,126.12,,,,51.39,2024-11-18 12:52:47.797014
296667331327,100.93,,,,64.54,2024-11-18 12:52:48.663037
266186980232,147.62,,,,176.65,2024-11-18 12:52:49.877480
335603751326,189.26,,,,64.47,2024-11-18 12:52:52.488748
126316184599,189.21,,,,62.85,2024-11-18 12:52:53.476518
126635490681,126.12,,,,54.72,2024-11-18 12:52:54.186633
116201827911,117.51,,,,77.73,2024-11-18 12:52:54.944235
135371020003,700.37,,,,,2024-11-18 12:52:55.655914
134936530537,126.17,,,,62.98,2024-11-18 12:52:56.418166
315693508917,107.24,,,,64.76,2024-11-18 12:52:58.419273
126635496768,126.12,,,,57.89,2024-11-18 12:52:59.383493
326331558402,113.56,,,,65.3,2024-11-18 12:53:00.097319
126252362898,176.59,,,,59.63,2024-11-18 12:53:01.260912
226114526614,126.17,,,,79.42,2024-11-18 12:53:03.983984
167059146430,100.93,,,,58.9,2024-11-18 12:53:05.227709
204396823768,252.35,,,,55.75,2024-11-18 12:53:06.164762
126633874308,201.82,,,,63.29,2024-11-18 12:53:07.671050
116268724302,88.33,,,,74.29,2024-11-18 12:53:08.891951
124116579940,113.5,,,,74.86,2024-11-18 12:53:09.735157
126251195354,163.97,176.59,7.0,12.62,,2024-11-18 12:53:10.518030
235822322900,478.22,,,,87.97,2024-11-18 12:53:11.415731
256625159366,164.02,,,,66.71,2024-11-18 12:53:12.672010
126331817770,201.82,,,,63.29,2024-11-18 12:53:13.816664
113885601493,176.59,,,,70.56,2024-11-18 12:53:16.032217
113205133791,176.59,,,,59.63,2024-11-18 12:53:16.890042
387353838775,147.58,163.97,10.0,16.39,52.14,2024-11-18 12:53:17.723057
126316175951,189.21,,,,62.85,2024-11-18 12:53:18.524687
126633876707,201.82,,,,63.29,2024-11-18 12:53:19.235435
